directors,numberall,runtimeminutes,averagerating,numvotes
nm0000005,40,102.3,7.30,686818
nm0000008,1,141.0,7.10,9895
nm0000009,1,93.0,5.60,927
nm0000010,1,89.0,5.80,216
nm0000018,2,92.0,5.80,2136
nm0000019,23,122.0,7.25,421632
nm0000024,1,191.0,7.40,395
nm0000032,2,119.5,5.90,1967
nm0000033,56,101.2,6.91,3271023
nm0000036,15,71.6,7.33,190047
nm0000037,11,106.1,6.93,259268
nm0000040,13,125.9,7.78,4282512
nm0000041,32,122.1,7.51,1078057
nm0000044,3,104.0,6.30,4369
nm0000045,2,99.5,6.70,48517
nm0000048,1,98.0,7.00,899
nm0000056,5,113.8,6.94,12441
nm0000059,5,146.4,7.02,32713
nm0000063,1,119.0,6.50,2231
nm0000069,1,106.0,6.50,1625
nm0000076,23,105.1,7.30,328632
nm0000078,5,126.2,6.62,48276
nm0000080,28,98.4,7.02,642249
nm0000083,1,77.0,8.60,99
nm0000086,1,125.0,6.70,3967
nm0000088,9,91.6,6.39,1304
nm0000090,1,95.0,6.50,84
nm0000091,13,90.5,5.27,89544
nm0000092,1,108.0,7.50,130398
nm0000095,50,96.2,6.99,2970843
nm0000101,1,94.0,5.20,22389
nm0000102,1,84.0,5.40,3071
nm0000104,2,114.5,5.90,7760
nm0000106,1,111.0,6.90,63506
nm0000108,19,113.9,6.76,2953904
nm0000110,19,123.3,6.74,1486197
nm0000111,1,119.0,6.20,1699
nm0000114,4,92.0,6.78,47143
nm0000115,1,110.0,5.60,3977
nm0000116,10,127.3,7.20,4971569
nm0000118,18,98.3,6.67,1553376
nm0000122,18,90.8,7.56,881476
nm0000123,6,107.3,6.55,584383
nm0000125,1,60.0,7.80,43
nm0000126,3,165.7,7.17,371181
nm0000127,22,101.0,5.92,1371042
nm0000128,2,94.5,6.90,71035
nm0000134,2,144.0,7.25,224049
nm0000136,2,86.5,6.45,9156
nm0000141,1,97.0,6.90,8881
nm0000142,38,125.5,6.99,4662633
nm0000146,3,120.3,6.27,44750
nm0000147,1,,4.50,17
nm0000149,4,97.8,6.58,165571
nm0000151,1,120.0,6.40,833
nm0000154,5,139.6,7.62,1903219
nm0000155,1,72.0,8.10,248
nm0000158,2,103.0,6.50,124640
nm0000160,4,109.8,6.33,8318
nm0000162,1,,5.00,130
nm0000163,2,106.0,7.10,26459
nm0000164,3,95.0,5.87,5366
nm0000165,30,120.4,6.75,3926595
nm0000166,2,96.5,5.85,13437
nm0000169,2,121.5,7.00,68821
nm0000174,1,90.0,7.40,27
nm0000175,1,98.0,5.50,29666
nm0000179,1,84.0,6.20,1295
nm0000180,18,140.5,7.42,670263
nm0000184,6,122.5,7.20,3393545
nm0000185,6,92.0,5.07,16156
nm0000186,14,118.2,7.25,1385143
nm0000187,2,101.5,5.95,14401
nm0000191,2,96.0,6.15,16295
nm0000195,1,89.0,6.80,18925
nm0000196,1,85.0,7.40,3142
nm0000197,4,104.5,5.83,25584
nm0000198,1,128.0,7.30,8400
nm0000199,4,96.8,6.85,14142
nm0000200,2,110.0,7.30,104117
nm0000202,1,98.0,5.50,2703
nm0000204,2,99.0,6.10,48108
nm0000206,1,105.0,6.10,35317
nm0000209,4,112.8,6.95,109417
nm0000212,1,96.0,5.50,2448
nm0000217,39,128.7,7.41,8178035
nm0000219,1,101.0,4.60,21999
nm0000228,2,106.0,6.40,21923
nm0000229,34,133.6,7.31,11830959
nm0000230,8,100.8,6.51,1305844
nm0000231,24,125.3,6.56,1936544
nm0000233,15,145.3,7.77,9574611
nm0000241,2,101.5,6.50,25737
nm0000243,3,128.3,7.33,184517
nm0000247,36,113.7,6.34,1185942
nm0000248,12,64.4,4.03,56797
nm0000252,2,300.0,2.90,23
nm0000255,4,122.0,7.30,1213579
nm0000257,4,102.8,6.03,10274
nm0000264,22,105.0,6.95,781139
nm0000265,37,114.9,6.51,497779
nm0000269,14,105.1,6.75,559585
nm0000270,1,92.0,5.20,167
nm0000272,3,97.7,5.17,451
nm0000273,2,98.0,6.25,2824
nm0000274,2,93.0,3.75,5827
nm0000275,1,99.0,6.30,1085
nm0000277,12,138.9,6.92,388488
nm0000278,2,107.0,6.65,4643
nm0000285,1,106.0,5.50,5030
nm0000299,2,84.5,3.75,2185
nm0000306,1,190.0,6.10,78
nm0000316,11,94.0,6.89,735824
nm0000318,19,109.6,6.98,4707181
nm0000320,31,91.5,7.22,255558
nm0000329,15,108.1,6.94,236029
nm0000332,1,100.0,6.40,9216
nm0000338,28,115.0,6.44,4315015
nm0000339,56,78.2,5.29,170382
nm0000341,7,100.6,6.37,217278
nm0000343,23,96.4,6.54,1320941
nm0000345,3,92.7,6.37,15751
nm0000352,2,91.5,4.30,7458
nm0000361,30,104.6,6.32,2292962
nm0000362,6,106.7,6.48,321821
nm0000365,7,99.0,6.09,57696
nm0000367,4,112.0,6.73,70835
nm0000369,1,116.0,6.00,4972
nm0000380,5,109.6,6.56,19619
nm0000381,2,89.0,4.60,745
nm0000382,22,99.4,6.39,247440
nm0000386,18,118.6,5.70,2578714
nm0000387,2,88.0,4.60,6039
nm0000389,7,109.3,6.46,102117
nm0000391,1,105.0,6.20,4367
nm0000398,1,112.0,5.60,3646
nm0000399,10,137.1,7.76,7025519
nm0000401,1,107.0,5.30,660
nm0000406,123,82.4,5.93,569084
nm0000408,4,100.8,5.88,213134
nm0000410,1,102.0,6.60,5153
nm0000412,2,144.0,7.20,9199
nm0000416,14,118.6,7.06,2173866
nm0000417,2,73.0,6.25,1232
nm0000418,1,96.0,6.10,311
nm0000419,69,87.4,6.53,328647
nm0000420,2,105.5,6.55,2892
nm0000421,1,111.0,4.80,953
nm0000425,23,118.5,6.72,104395
nm0000428,41,94.1,6.19,66849
nm0000430,1,92.0,5.40,600
nm0000431,15,127.3,6.85,779242
nm0000435,2,82.5,5.95,617
nm0000436,14,108.1,6.12,1038250
nm0000437,1,103.0,6.20,3037
nm0000438,2,118.5,6.85,84653
nm0000450,1,91.0,6.40,8008
nm0000454,7,109.3,6.39,146190
nm0000455,8,98.4,6.96,1089027
nm0000459,1,98.0,6.80,2481
nm0000461,1,95.0,5.40,135
nm0000463,1,93.0,5.10,1789
nm0000464,16,107.2,7.13,735751
nm0000465,59,77.7,6.07,700
nm0000466,8,105.1,7.13,1182157
nm0000473,3,89.0,6.13,14952
nm0000474,1,110.0,6.50,2892
nm0000476,1,,6.40,9
nm0000484,20,102.6,6.43,1033878
nm0000485,46,102.1,7.05,484328
nm0000486,1,100.0,4.90,135
nm0000487,14,124.8,7.11,1764714
nm0000490,35,121.1,6.47,1229487
nm0000491,1,117.0,6.40,440
nm0000492,1,115.0,6.20,7980
nm0000493,1,113.0,6.60,1280
nm0000498,1,98.0,6.50,3214
nm0000500,21,108.3,7.00,1822324
nm0000511,2,91.0,6.75,1406
nm0000513,3,94.3,5.90,31584
nm0000517,10,125.5,6.78,626597
nm0000518,1,132.0,6.90,6255
nm0000519,10,102.6,6.87,164432
nm0000520,11,132.7,6.98,1862894
nm0000521,3,96.3,4.70,1150
nm0000524,1,86.0,6.30,6822
nm0000527,1,65.0,4.80,471
nm0000540,23,79.7,5.40,46337
nm0000545,1,,4.60,97
nm0000546,2,97.5,6.25,499
nm0000551,1,90.0,4.90,8953
nm0000552,1,116.0,6.10,20065
nm0000554,3,53.0,7.23,30
nm0000559,6,104.0,6.00,203136
nm0000561,2,82.0,6.90,37
nm0000568,13,95.9,6.72,712821
nm0000570,14,122.3,7.14,582984
nm0000576,6,129.0,6.67,649152
nm0000577,1,108.0,6.10,113
nm0000578,2,87.5,5.00,13263
nm0000581,21,121.5,7.32,297784
nm0000583,14,113.4,6.77,1537684
nm0000586,1,103.0,5.10,1969
nm0000591,26,117.2,7.03,2001131
nm0000594,2,89.5,7.10,1421
nm0000600,15,106.1,6.76,2893886
nm0000601,11,98.7,6.27,1246167
nm0000602,10,129.6,6.89,367188
nm0000603,1,74.0,7.00,242
nm0000608,5,107.2,5.82,14804
nm0000614,2,110.0,6.75,23718
nm0000618,1,,7.40,16
nm0000619,1,98.0,7.30,9558
nm0000625,1,89.0,3.10,15544
nm0000626,18,120.6,6.86,99304
nm0000628,1,72.0,7.20,19
nm0000630,1,106.0,7.40,56460
nm0000631,28,124.0,6.91,7007014
nm0000634,2,98.5,5.55,2188
nm0000635,3,94.3,4.90,10964
nm0000638,3,98.7,4.93,58785
nm0000640,1,97.0,6.50,5216
nm0000641,2,111.5,6.60,41294
nm0000647,32,91.2,4.56,43929
nm0000649,1,,5.10,52
nm0000654,1,,4.40,8
nm0000655,2,101.5,6.20,1798
nm0000659,3,130.3,6.67,43777
nm0000662,2,108.0,5.85,5316
nm0000665,1,90.0,5.50,795
nm0000667,1,95.0,6.00,190
nm0000670,1,102.0,5.60,1105
nm0000671,5,112.0,6.56,104047
nm0000680,3,99.3,3.93,2372
nm0000682,16,115.1,6.79,1339363
nm0000691,13,86.5,6.58,185404
nm0000694,42,111.7,6.70,341612
nm0000697,26,114.8,7.45,1192071
nm0000698,5,94.8,5.90,28827
nm0000708,1,90.0,7.50,50
nm0000709,21,117.5,7.11,5996259
nm0000713,1,123.0,6.60,1818
nm0000720,8,90.0,6.66,509447
nm0000725,1,97.0,6.10,2562
nm0000727,10,102.9,6.18,15509
nm0000729,2,113.5,6.40,30587
nm0000736,30,116.8,6.70,250388
nm0000739,1,105.0,4.50,159
nm0000740,8,97.1,5.58,22958
nm0000741,1,96.0,5.50,5456
nm0000743,2,114.5,8.05,187
nm0000750,8,113.3,6.36,317349
nm0000753,1,,6.40,50
nm0000755,10,102.2,7.13,42834
nm0000759,9,129.8,7.48,1575148
nm0000766,17,135.5,7.21,50461
nm0000767,1,113.0,7.00,77
nm0000770,7,105.6,6.29,109939
nm0000774,22,114.3,6.90,194627
